Data,Time,Tournament,Home_team,H_S,A_S,Away_team,Match_ID,TEC_result,Field_referee,Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26,21:40,SFL League,TEC,0,1,AFK,18538,lost,Dalius Ramanauskas,Fanų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,20:15,SFL League,FK Medžiai,1,3,TEC,18556,won,Artiom Gutovskij,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,20:20,SFL League,Navigatoriai,2,0,TEC,18753,lost,Donatas Šimėnas,Senvagės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-26,17:00,SFL League,Kaišiadorys-Baltai,5,2,TEC,18781,lost,Artūras Pipiras,Žiežmarių stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,15:00,SFL League,Ozas,5,4,TEC,18806,lost,Nerijus Vasiliauskas,Panerio stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,14:00,SFL League,Salininkai,1,3,TEC,18836,won,Vitalij Gomolko,Dilgynės stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,20:00,SFL League,TEC,3,1,Aktas,18862,won,Dalius Ramanauskas,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,21:30,SFL League,VGTU-Vilkai,2,5,TEC,18892,won,Aleksandr Radiuš,Fanų stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,19:00,SFL League,TEC,0,1,Granitas,18917,lost,Kęstutis Bartuškevičius,LFF stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,16:00,SFL League,TEC,1,3,FKS Ukmergė,18943,lost,Artiom Gutovskij,Ukmergės centrinis stadionas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
